Priority,Task,Deadline,Owner,Notes,Drive_Link
CRITICAL,Designate approved e-invoicing platform (facturation electronique),2026-09-01,Agent 2 - Money Guardian,DGFiP letter 26 Jun 2026: mandatory from 01/09/2026 for all incl. micro-entrepreneurs; ~7 weeks left,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf
HIGH,Verify Urssaf declaration periodicity (monthly vs quarterly) and file first CA declaration,2026-07-31,Agent 2 - Money Guardian,Urssaf letter 29 Jun 2026: declare CA even if zero; activity started 04/06/2026 so first window is already running; check on autoentrepreneur.urssaf.fr,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf
HIGH,Create espace professionnel on impots.gouv.fr,2026-07-18,Agent 2 - Money Guardian,DGFiP letter says 'des maintenant'; needed for declarations CFE notices messagerie securisee; SIE Saint-Pierre 02 62 35 98 00 (Mon-Fri 08h30-16h00),https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf
HIGH,Activate online declaration/payment account on autoentrepreneur.urssaf.fr,2026-07-18,Agent 2 - Money Guardian,Required by Urssaf affiliation letter; do together with impots.gouv.fr setup (one admin block),https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf
HIGH,Fix and resend British Council Spain application,2026-07-14,Agent 4 - Business Engine,Bounced 11 Jul (address not found: teacherrecruitment@britishcouncil.es) - application never arrived; research correct address,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf
HIGH,Fix and resend IH Madrid application,2026-07-14,Agent 4 - Business Engine,Bounced 10 Jul (address not found: jobs@ihmadrid.com) - application never arrived; research correct address,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf
HIGH,France Travail API renewal,2026-07-24,Agent 3 - Legal & Employment Sentinel,Renewal window ~24 Jul 2026; confirm exact date with referent {FT_REFERENT},https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf
HIGH,CGSS attestation renewal,{CGSS_VALID_TO},Agent 3 - Legal & Employment Sentinel,Start renewal 30 days before expiry; keep attestation with ALD documents,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf
MEDIUM,Review Dr PADOVANI consultation documents on Doctolib,2026-07-13,Agent 1 - Wellbeing Gatekeeper,Documents from 10 Jul consultation still unread in Doctolib/Gmail; download and archive to Drive,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf
MEDIUM,Read Qualiopi complaint closure 24FOR00796 (plainte 2026-019) and decide follow-up,2026-07-18,Agent 3 - Legal & Employment Sentinel,Email 8 Jul from qualitia-certification: complaint processed/classified; if contesting consider mediateur or next escalation,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf
MEDIUM,Archive Urssaf affiliation letter and Memento Fiscal permanently,2026-07-15,Agent 8 - Inbox-to-Action Engine,Both marked 'document a conserver'; save PDFs to Drive admin folder and link here,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf
MEDIUM,Confirm Wednesday AM tutoring bookings,2026-07-14,Agent 9 - Tutoring & Learning Designer,Confirm the day before the Wed 15 Jul teaching block,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf
LOW,Weekly writing cadence: 1 long-form draft (WP+Ghost) + 1 LinkedIn post,2026-07-17,Agent 5 - Writing & Publishing Studio,Transcription draft from 8 Jul email ('proofread and format as blog') is ready material,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf
LOW,Copropriete: review next meeting agenda,2026-07-20,Agent 7 - Home & Personal Admin,Prepare one-page brief: what matters + suggested questions,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf
LOW,Quarterly save-money sweep (subscriptions tools hosting),2026-07-31,Agent 2 - Money Guardian,First sweep: list all recurring costs and cancel/downgrade unused,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf
