Priority,Task,Deadline,Owner,Status,Health_Risk,Drive_Link,Notes,Source
CRITICAL,Electronic invoicing (facturation électronique) reception readiness via approved platform,2026-09-01,Agent_2_Professional_Admin,PENDING,LOW,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf,Mandatory for all businesses incl. micro-entrepreneurs from Sept 2026 - verify exact scope on impots.gouv.fr,impots.gouv.fr
HIGH,URSSAF CA (revenue) declaration - current period,2026-07-31,Agent_2_Professional_Admin,PENDING,LOW,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf,Confirm cadence (monthly/quarterly) and amount before declaring - BNC regime; URSSAF not DGFiP,autoentrepreneur.urssaf.fr
HIGH,CGSS Réunion health cover / attestation - keep current,2026-12-31,Agent_2_Professional_Admin,PENDING,LOW,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf,Verify validity window and renew ~30 days before expiry on lassurancemaladie.fr,lassurancemaladie.fr
HIGH,DGFiP - PAS (prélèvement à la source) rate/situation review,2026-08-15,Agent_2_Professional_Admin,PENDING,LOW,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf,Keep income-tax withholding current - impots.gouv.fr; do not confuse with URSSAF,impots.gouv.fr
HIGH,France Travail obligations - meet mobilisation/job-search duties,2026-07-24,Agent_2_Professional_Admin,PENDING,MEDIUM,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf,Meet obligations to avoid radiation/sanction - verify next due on francetravail.fr,francetravail.fr
HIGH,Email + document scan for new deadlines and appointments,2026-07-14,Agent_1_Life_Health_Orchestrator,RECURRING,LOW,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf,Scan configured sources per registry.yaml; extract obligations/appointments; apply Health Gate,Registry
HIGH,Medical / doctor appointment tracking,2026-07-14,Agent_1_Life_Health_Orchestrator,RECURRING,MEDIUM,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf,Read appointments from registry contacts; propose reminders with prep steps; never exceed focus limits,Registry
CRITICAL,Daily Health Gate check before any planned work,2026-07-14,Agent_1_Life_Health_Orchestrator,RECURRING,LOW,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf,STOP/PAUSE/PROCEED from registry thresholds; health outranks every deadline,Registry
MEDIUM,Configure registry.yaml (contacts/sources/thresholds) from private data,2026-07-20,Agent_1_Life_Health_Orchestrator,PENDING,LOW,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf,Fill private registry so Agent 1 stays name-free; keep credentials out of repo,User Setup
MEDIUM,Sync this tracker to Google Drive and Box,2026-07-14,Agent_1_Life_Health_Orchestrator,RECURRING,LOW,https://drive.google.com/drive/folders/1O9QPObl7_Tls3jMliCoxE-lsUuG9WfTf,Keep GitHub + Drive + Box copies in step; append only new durable facts,System
