index,company_name,company_sector,job_title,location,contact_email,salary_expected_eur,employment_type,specialization,industry_focus,reason_fit,urgency,status,date_added,date_applied,follow_up_date,notes,contact_linkedin,phone
1,France Langue,Language Education,English Teacher,Paris,marie@francelangue.fr,2200-2800,Full-time,Business English,Corporate Training,CELTA certified + corporate experience,High,new,2026-06-03,,2026-06-17,Strong brand in French market. Has contracts with multinationals.,https://linkedin.com/company/france-langue,+33 1 XX XX XX XX
2,EF Education France,Language Education,Corporate English Trainer,Lyon,hr@eflyon.fr,2500-3200,Full-time,Aviation + Medical English,Specialized Sectors,Multilingual background. Aviation hospitality experience.,High,new,2026-06-03,,2026-06-17,EF has global reach. Strong salary. Medical/aviation niches.,https://linkedin.com/company/ef-france,,
3,Wall Street English,Language Education,English Instructor,Paris,recruitment@wse.fr,2000-2600,Full-time,Business English,Online + In-Person,Established brand. Flexible scheduling.,Medium,new,2026-06-03,,2026-06-24,Hybrid model might work for stability management.,https://linkedin.com/company/wall-street-english,,
4,Berlitz France,Language Education,Language Consultant,Paris,career@berlitzfrance.fr,2300-2900,Full-time,Hospitality English,Specialized Training,11 years hospitality management. Direct fit.,High,new,2026-06-03,,2026-06-17,Berlitz recognizes experience. Hospitality niche underserved.,https://linkedin.com/company/berlitz,,
5,Preply (Remote),Online Language Teaching,IELTS Specialist Tutor,Remote - EU,support@preply.com,1800-3500/mo,1099 / Freelance,IELTS Preparation,Online Tutoring,IELTS specialist credential (Feb 2026). Flexibility for bipolar management.,Very High,new,2026-06-03,,2026-06-10,"Remote = energy control. IELTS focus = niche expertise. Income variable but scalable.",https://linkedin.com/company/preply,,
6,Busuu,Online Language Teaching,Language Instructor,Remote - EU,careers@busuu.com,1500-2800/mo,Freelance,Business English,Online Tutoring,Scale teaching income without commute stress.,High,new,2026-06-03,,2026-06-17,Established platform. Strong teacher support.,https://linkedin.com/company/busuu,,
7,Italki,Online Language Teaching,English Tutor,Remote - Worldwide,support@italki.com,1500-3500/mo,Freelance,Conversational English,Online Tutoring,Set your own schedule. Control energy output.,Very High,new,2026-06-03,,2026-06-10,Most flexible. Highest income potential for consistent tutors.,https://linkedin.com/company/italki,,
8,AeroProfessional Aviation,Specialized Training,Aviation English Trainer,Paris,recruitment@aeroprof.fr,2400-3100,Full-time,Aviation English,Specialized Sectors,Hospitality background = aviation passenger interaction knowledge.,Medium,new,2026-06-03,,2026-06-24,Niche but growing. Higher salary for specialization.,https://linkedin.com/company/aeroprofessional,,
9,Udemy (Self-Published Courses),Online Content,IELTS & Business English Course Creator,Remote,creator@udemy.com,variable (royalties),1099 / Royalty,IELTS + Business English,Online Education,Create once. Income every month. Fits bipolar cyclical energy.,Medium,new,2026-06-03,,2026-07-01,Low barrier. Passive income long-term. Good for creative bursts.,https://udemy.com,,
10,Coursera (Partner Instructor),Online Content,IELTS Specialist Course Instructor,Remote,partnerships@coursera.org,variable (royalties),1099 / Royalty,IELTS Preparation,Online Education,Credible platform. Higher perceived authority than Udemy.,Medium,new,2026-06-03,,2026-07-01,Revenue share model. Builds teaching authority.,https://linkedin.com/company/coursera,,
11,Linguix (Language Software Company),Corporate Training,English Subject Matter Expert,Remote,jobs@linguix.com,2200-2800,Full-time,Business English,EdTech,Your background = lived language learner + teacher.,Low,new,2026-06-03,,2026-07-08,EdTech growing fast. Remote = optimal for stability.,https://linkedin.com/company/linguix,,
